"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"295","ENPBC16","ENP","BC","Total number","all",374,417
"296","ENPBC17","ENP","BC","Total number","all",401,422
"297","ENPBC18","ENP","BC","Total number","all",402,424
"298","ENPCA01","ENP","CA","Total number","all",424,421
"299","ENPCA02","ENP","CA","Total number","all",422,448
"300","ENPCA03","ENP","CA","Total number","all",434,441
"301","ENPCA04","ENP","CA","Total number","all",450,463
"302","ENPCA05","ENP","CA","Total number","all",403,456
"303","ENPCA06","ENP","CA","Total number","all",426,431
"304","ENPCA07","ENP","CA","Total number","all",390,425
"305","ENPCA08","ENP","CA","Total number","all",434,487
"306","ENPOR10","ENP","OR","Total number","all",414,420
"307","ENPOR11","ENP","OR","Total number","all",418,469
"308","ENPOR13","ENP","OR","Total number","all",451,447
"309","ENPWA14","ENP","WA","Total number","all",433,448
"310","ENPWA15","ENP","WA","Total number","all",379,415
"311","GOC002","GOC","GOC","Total number","all",1381,1556
"312","GOC006","GOC","GOC","Total number","all",1311,1430
"313","GOC025","GOC","GOC","Total number","all",1362,1483
"314","GOC038","GOC","GOC","Total number","all",1342,1451
"315","GOC050","GOC","GOC","Total number","all",1381,1517
"316","GOC053","GOC","GOC","Total number","all",1332,1464
"317","GOC063","GOC","GOC","Total number","all",1296,1412
"318","GOC068","GOC","GOC","Total number","all",1303,1457
"319","GOC071","GOC","GOC","Total number","all",1294,1438
"320","GOC077","GOC","GOC","Total number","all",1324,1486
"321","GOC080","GOC","GOC","Total number","all",1324,1477
"322","GOC082","GOC","GOC","Total number","all",1293,1461
"323","GOC086","GOC","GOC","Total number","all",1355,1529
"324","GOC091","GOC","GOC","Total number","all",1382,1496
"325","GOC100","GOC","GOC","Total number","all",1392,1555
"326","GOC111","GOC","GOC","Total number","all",1378,1552
"327","GOC112","GOC","GOC","Total number","all",1377,1568
"328","GOC116","GOC","GOC","Total number","all",1430,1606
"329","GOC125","GOC","GOC","Total number","all",1235,1361
"330","ENPAK19","ENP","AK","Total length (Mb)","all",78985333,82860835
"331","ENPAK20","ENP","AK","Total length (Mb)","all",78033629,83391176
"332","ENPAK21","ENP","AK","Total length (Mb)","all",134770297,133379573
"333","ENPAK22","ENP","AK","Total length (Mb)","all",139061940,140349508
"334","ENPAK23","ENP","AK","Total length (Mb)","all",81257297,82798839
"335","ENPAK24","ENP","AK","Total length (Mb)","all",81556477,87309330
"336","ENPAK25","ENP","AK","Total length (Mb)","all",141810742,141788536
"337","ENPAK26","ENP","AK","Total length (Mb)","all",145110983,143992566
"338","ENPAK27","ENP","AK","Total length (Mb)","all",142690783,142589343
"339","ENPAK28","ENP","AK","Total length (Mb)","all",150986551,151213424
"340","ENPAK29","ENP","AK","Total length (Mb)","all",76999360,84858564
"341","ENPAK30","ENP","AK","Total length (Mb)","all",84130860,88889511
"342","ENPBC16","ENP","BC","Total length (Mb)","all",80076987,85686314
"343","ENPBC17","ENP","BC","Total length (Mb)","all",132323077,133404184
"344","ENPBC18","ENP","BC","Total length (Mb)","all",135383312,136590597
"345","ENPCA01","ENP","CA","Total length (Mb)","all",188278051,185579152
"346","ENPCA02","ENP","CA","Total length (Mb)","all",84374941,88341467
"347","ENPCA03","ENP","CA","Total length (Mb)","all",146621741,146571280
"348","ENPCA04","ENP","CA","Total length (Mb)","all",158560282,158235299
"349","ENPCA05","ENP","CA","Total length (Mb)","all",127482522,136187256
"350","ENPCA06","ENP","CA","Total length (Mb)","all",164393972,161476744
"351","ENPCA07","ENP","CA","Total length (Mb)","all",81164696,85024640
"352","ENPCA08","ENP","CA","Total length (Mb)","all",90298926,96740610
"353","ENPOR10","ENP","OR","Total length (Mb)","all",78872488,79887345
"354","ENPOR11","ENP","OR","Total length (Mb)","all",92296517,97560063
"355","ENPOR13","ENP","OR","Total length (Mb)","all",149622004,145637452
"356","ENPWA14","ENP","WA","Total length (Mb)","all",138244838,137491169
"357","ENPWA15","ENP","WA","Total length (Mb)","all",81002905,86136001
"358","GOC002","GOC","GOC","Total length (Mb)","all",963134638,983184540
"359","GOC006","GOC","GOC","Total length (Mb)","all",868494717,877263180
"360","GOC025","GOC","GOC","Total length (Mb)","all",882420590,888849205
"361","GOC038","GOC","GOC","Total length (Mb)","all",904281480,915305535
"362","GOC050","GOC","GOC","Total length (Mb)","all",878809223,893880770
"363","GOC053","GOC","GOC","Total length (Mb)","all",876602515,884738971
"364","GOC063","GOC","GOC","Total length (Mb)","all",843670392,853087089
"365","GOC068","GOC","GOC","Total length (Mb)","all",838570445,858205181
"366","GOC071","GOC","GOC","Total length (Mb)","all",853216748,874121475
"367","GOC077","GOC","GOC","Total length (Mb)","all",816328053,834896920
"368","GOC080","GOC","GOC","Total length (Mb)","all",891845485,906972085
"369","GOC082","GOC","GOC","Total length (Mb)","all",872681597,891651500
"370","GOC086","GOC","GOC","Total length (Mb)","all",892771130,916161556
"371","GOC091","GOC","GOC","Total length (Mb)","all",954855091,961692632
"372","GOC100","GOC","GOC","Total length (Mb)","all",948606059,958648004
"373","GOC111","GOC","GOC","Total length (Mb)","all",864000122,879704524
"374","GOC112","GOC","GOC","Total length (Mb)","all",862291835,889668238
"375","GOC116","GOC","GOC","Total length (Mb)","all",926988600,943518168
"376","GOC125","GOC","GOC","Total length (Mb)","all",804659498,814046961
